Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_0805_2012Metric,124.0,-89.5,-90.0,top
D10,LED,LED_0805_2012Metric,192.147307,-89.5,-90.0,top
D11,LED,LED_0805_2012Metric,199.71923,-89.5,-90.0,top
D12,LED,LED_0805_2012Metric,207.291153,-89.5,-90.0,top
D13,LED,LED_0805_2012Metric,214.863076,-89.5,-90.0,top
D14,LED,LED_0805_2012Metric,222.435,-89.5,-90.0,top
D2,LED,LED_0805_2012Metric,131.571923,-89.5,-90.0,top
D3,LED,LED_0805_2012Metric,139.143846,-89.5,-90.0,top
D4,LED,LED_0805_2012Metric,146.715769,-89.5,-90.0,top
D5,LED,LED_0805_2012Metric,154.287692,-89.5,-90.0,top
D6,LED,LED_0805_2012Metric,161.859615,-89.5,-90.0,top
D7,LED,LED_0805_2012Metric,169.431538,-89.5,-90.0,top
D8,LED,LED_0805_2012Metric,177.003461,-89.5,-90.0,top
D9,LED,LED_0805_2012Metric,184.575384,-89.5,-90.0,top
J1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,122.04,-104.0,-90.0,top
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,222.04,-104.0,90.0,top
J4,HTSW-217-15-T-S,SAMTEC_HTSW-217-15-T-S,170.41,-99.0,0.0,top
J5,2601-3108,CONN8_2601-3108_WAG,144.554901,-58.680799,0.0,top
J6,2601-3108,CONN8_2601-3108_WAG,200.249997,-58.650399,0.0,top
R1,2k,R_0805_2012Metric,124.0,-73.4125,90.0,top
R10,2k,R_0805_2012Metric,161.859615,-73.4125,90.0,top
R11,2k,R_0805_2012Metric,169.431538,-73.4125,90.0,top
R12,5.6k,R_0805_2012Metric,177.003461,-73.4125,90.0,top
R13,4.3k,R_0805_2012Metric,154.287692,-93.0,-90.0,top
R14,4.3k,R_0805_2012Metric,161.859615,-93.0,-90.0,top
R15,4.3k,R_0805_2012Metric,169.431538,-93.0,-90.0,top
R16,4.3k,R_0805_2012Metric,177.0,-93.0,-90.0,top
R17,5.6k,R_0805_2012Metric,184.575384,-73.4125,90.0,top
R18,5.6k,R_0805_2012Metric,192.147307,-73.4125,90.0,top
R19,5.6k,R_0805_2012Metric,199.71923,-73.4125,90.0,top
R2,2k,R_0805_2012Metric,131.571923,-73.4125,90.0,top
R20,5.6k,R_0805_2012Metric,207.291153,-73.4125,90.0,top
R21,4.3k,R_0805_2012Metric,184.575384,-93.0,-90.0,top
R22,4.3k,R_0805_2012Metric,192.147307,-93.0,-90.0,top
R23,4.3k,R_0805_2012Metric,199.71923,-93.0,-90.0,top
R24,4.3k,R_0805_2012Metric,207.291153,-93.0,-90.0,top
R25,5.6k,R_0805_2012Metric,214.863076,-73.4125,90.0,top
R26,5.6k,R_0805_2012Metric,222.435,-73.4125,90.0,top
R27,4.3k,R_0805_2012Metric,214.863076,-93.0,-90.0,top
R28,4.3k,R_0805_2012Metric,222.435,-93.0,-90.0,top
R3,2k,R_0805_2012Metric,139.143846,-73.4125,90.0,top
R4,2k,R_0805_2012Metric,146.715769,-73.4125,90.0,top
R5,4.3k,R_0805_2012Metric,124.0,-93.0,-90.0,top
R6,4.3k,R_0805_2012Metric,131.571923,-93.0,-90.0,top
R7,4.3k,R_0805_2012Metric,139.143846,-93.0,-90.0,top
R8,4.3k,R_0805_2012Metric,146.715769,-93.0,-90.0,top
R9,2k,R_0805_2012Metric,154.287692,-73.4125,90.0,top
U1,PC817,DIP-4_W7.62mm,122.73,-81.5525,180.0,top
U10,PC817,DIP-4_W7.62mm,190.877307,-81.5525,180.0,top
U11,PC817,DIP-4_W7.62mm,198.44923,-81.5525,180.0,top
U12,PC817,DIP-4_W7.62mm,206.021153,-81.5525,180.0,top
U13,PC817,DIP-4_W7.62mm,213.593076,-81.5525,180.0,top
U14,PC817,DIP-4_W7.62mm,221.165,-81.5525,180.0,top
U2,PC817,DIP-4_W7.62mm,130.301923,-81.5525,180.0,top
U3,PC817,DIP-4_W7.62mm,137.873846,-81.5525,180.0,top
U4,PC817,DIP-4_W7.62mm,145.445769,-81.5525,180.0,top
U5,PC817,DIP-4_W7.62mm,153.017692,-81.5525,180.0,top
U6,PC817,DIP-4_W7.62mm,160.589615,-81.5525,180.0,top
U7,PC817,DIP-4_W7.62mm,168.161538,-81.5525,180.0,top
U8,PC817,DIP-4_W7.62mm,175.733461,-81.5525,180.0,top
U9,PC817,DIP-4_W7.62mm,183.305384,-81.5525,180.0,top
